feature,r
LDA50_abstract_weight__0_network_state_resting,0.020397086104894484
LDA50_abstract_weight__1_anxiety_trait_personality,-0.013823421004954055
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.02298445722055652
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.044837530233238866
LDA50_abstract_weight__4_stimulus_time_repetition,-0.005542252077167284
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.02962766448661383
LDA50_abstract_weight__6_auditory_speech_temporal,-0.00123751148581603
LDA50_abstract_weight__7_reward_feedback_striatum,0.0042967410626197945
LDA50_abstract_weight__8_mpfc_social_medial,0.050015463400806696
LDA50_abstract_weight__9_memory_working_wm,0.027502237391086867
LDA50_abstract_weight__10_food_taste_weight,-0.007992732970606353
LDA50_abstract_weight__11_learning_training_practice,-0.013140622615610505
LDA50_abstract_weight__12_women_men_sex,-0.001246785236354433
LDA50_abstract_weight__13_fear_threat_smokers,0.012257800811824803
LDA50_abstract_weight__14_disease_ad_pd,-0.0028392526470964654
LDA50_abstract_weight__15_task_performance_cognitive,0.0295573960674671
LDA50_abstract_weight__16_response_inhibition_control,-0.006016450303430159
LDA50_abstract_weight__17_motor_cortex_hand,-0.030639705845182726
LDA50_abstract_weight__18_number_ips_numerical,-0.0008127604543712477
LDA50_abstract_weight__19_action_actions_observation,0.025062734994026316
LDA50_abstract_weight__20_control_conflict_task,-0.00851785753515342
LDA50_abstract_weight__21_matter_volume_structural,-0.0756054361634192
LDA50_abstract_weight__22_method_group_approach,-0.07432567586118356
LDA50_abstract_weight__23_asd_autism_group,0.010812035994656024
LDA50_abstract_weight__24_age_adults_older,0.013021109027574453
LDA50_abstract_weight__25_spatial_body_human,-0.049808313046629415
LDA50_abstract_weight__26_emotional_amygdala_negative,0.05056134834465027
LDA50_abstract_weight__27_disorder_adhd_group,-0.05052388170517347
LDA50_abstract_weight__28_social_empathy_moral,0.022950072498563266
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.022731160610077225
LDA50_abstract_weight__30_decision_making_risk,0.014034410237011387
LDA50_abstract_weight__31_model_models_prediction,-0.03499707132711125
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.01468438703681231
LDA50_abstract_weight__33_memory_retrieval_encoding,0.13764684636112567
LDA50_abstract_weight__34_frequency_hz_ms,-0.0820164782403984
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.05962109066057879
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.036344733757785505
LDA50_abstract_weight__37_language_reading_word,0.06448080463504684
LDA50_abstract_weight__38_semantic_category_representations,0.0372000790586478
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.043181024809882874
LDA50_abstract_weight__40_face_faces_facial,-0.02624667987150098
LDA50_abstract_weight__41_imagery_mental_events,0.08120897321434074
LDA50_abstract_weight__42_visual_cortex_sensory,-0.02953644519235045
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.025618796691032772
LDA50_abstract_weight__44_eye_sleep_gaze,-0.02239052379250897
LDA50_abstract_weight__45_motion_perception_visual,-0.06044366729665097
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.010583733768758012
LDA50_abstract_weight__47_attention_attentional_target,-0.002816062276738465
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.03128759714139665
LDA50_abstract_weight__49_depression_mdd_state,-0.07912274287744794
