feature,r
LDA50_abstract_weight__0_network_state_resting,0.002376613628531
LDA50_abstract_weight__1_anxiety_trait_personality,-0.011318857752108724
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.013110786784192679
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.036553749596592376
LDA50_abstract_weight__4_stimulus_time_repetition,-0.008893462923543718
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.04227087754159525
LDA50_abstract_weight__6_auditory_speech_temporal,0.01978659882257939
LDA50_abstract_weight__7_reward_feedback_striatum,-0.003234521780697164
LDA50_abstract_weight__8_mpfc_social_medial,0.03357581198136552
LDA50_abstract_weight__9_memory_working_wm,0.06122631479036935
LDA50_abstract_weight__10_food_taste_weight,-0.012312405042053986
LDA50_abstract_weight__11_learning_training_practice,-0.006640557771538139
LDA50_abstract_weight__12_women_men_sex,-0.0009555538193331004
LDA50_abstract_weight__13_fear_threat_smokers,-0.006622174593098182
LDA50_abstract_weight__14_disease_ad_pd,-0.018794220491973088
LDA50_abstract_weight__15_task_performance_cognitive,0.07029123671286677
LDA50_abstract_weight__16_response_inhibition_control,0.07602287570490562
LDA50_abstract_weight__17_motor_cortex_hand,-0.01948177798946943
LDA50_abstract_weight__18_number_ips_numerical,-0.0007034882471081544
LDA50_abstract_weight__19_action_actions_observation,0.013667768028927616
LDA50_abstract_weight__20_control_conflict_task,0.04269937222642029
LDA50_abstract_weight__21_matter_volume_structural,-0.08297170838499096
LDA50_abstract_weight__22_method_group_approach,-0.08076323352779563
LDA50_abstract_weight__23_asd_autism_group,0.02955153143715553
LDA50_abstract_weight__24_age_adults_older,0.018316812204204995
LDA50_abstract_weight__25_spatial_body_human,-0.0602353858572144
LDA50_abstract_weight__26_emotional_amygdala_negative,0.026331834048184944
LDA50_abstract_weight__27_disorder_adhd_group,-0.02765734930932515
LDA50_abstract_weight__28_social_empathy_moral,0.037873147326611754
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.028037818981226238
LDA50_abstract_weight__30_decision_making_risk,0.022704487827590297
LDA50_abstract_weight__31_model_models_prediction,-0.03354654466094703
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.00774051041237643
LDA50_abstract_weight__33_memory_retrieval_encoding,0.023415335302280738
LDA50_abstract_weight__34_frequency_hz_ms,-0.058805526725651765
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.04608911862791511
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.019030897988098244
LDA50_abstract_weight__37_language_reading_word,0.007213320143193893
LDA50_abstract_weight__38_semantic_category_representations,-0.019645635330100192
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.030549069607690937
LDA50_abstract_weight__40_face_faces_facial,-0.00016518168662172053
LDA50_abstract_weight__41_imagery_mental_events,0.02615024717496004
LDA50_abstract_weight__42_visual_cortex_sensory,-0.031905184682275156
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.010947640846224753
LDA50_abstract_weight__44_eye_sleep_gaze,-0.0012174736785460188
LDA50_abstract_weight__45_motion_perception_visual,-0.0399311466229654
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.019684797235051423
LDA50_abstract_weight__47_attention_attentional_target,0.051517223061804104
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.09034464788738816
LDA50_abstract_weight__49_depression_mdd_state,-0.06981373106946664
